country,canonical_name,raw_name,category,seen
PL,1 Regionalna Baza Logistyczna,1 Regionalna Baza Logistyczna,logistics_base,890
PL,11 Wojskowy Oddział Gospodarczy,11 Wojskowy Oddział Gospodarczy,economic_unit,365
PL,12 Wojskowy Oddział Gospodarczy,12 Wojskowy Oddział Gospodarczy,economic_unit,853
PL,12 Wojskowy Oddział Gospodarczy,12.wojskowy Oddział Gospodarczy,economic_unit,12
PL,12 Wojskowy Oddział Gospodarczy,12 Wojskowy Oddział gospodarczy,economic_unit,1
PL,12 Wojskowy Oddział Gospodarczy,12 Wojskowy Oddział Gospodarczy Toruń,economic_unit,1
PL,13 Wojskowy Oddział Gospodarczy,13 Wojskowy Oddział Gospodarczy,economic_unit,887
PL,13 Wojskowy Oddział Gospodarczy,Skarb Państwa - 13 Wojskowy Oddział Gospodarczy (13 WOG),economic_unit,141
PL,13 Wojskowy Oddział Gospodarczy,Skarb Państwa - 13 Wojskowy Oddział Gospodarczy,economic_unit,7
PL,14 Wojskowy Oddział Gospodarczy,14 Wojskowy Oddział Gospodarczy,economic_unit,588
PL,14 Wojskowy Oddział Gospodarczy,14 Wojskowy Oddział Gospodarczy w Poznaniu,economic_unit,13
PL,15 Wojskowy Oddział Gospodarczy,15 Wojskowy Oddział Gospodarczy,economic_unit,1085
PL,16 Wojskowy Oddział Gospodarczy w Drawsku Pomorskim (jednostka Wojskowa nr 3378),16 Wojskowy Oddział Gospodarczy w Drawsku Pomorskim (jednostka Wojskowa nr 3378),economic_unit,632
PL,16 Wojskowy Oddział Gospodarczy w Drawsku Pomorskim (jednostka Wojskowa nr 3378),16 Wojskowy Oddział Gospodarczy,economic_unit,164
PL,16 Wojskowy Oddział Gospodarczy w Drawsku Pomorskim (jednostka Wojskowa nr 3378),16 Wojskowy Oddział Gospodarczy w Drawsku Pomorskim,economic_unit,1
PL,17 Wojskowy Oddział Gospodarczy,17 Wojskowy Oddział Gospodarczy,economic_unit,397
PL,18 Wojskowy Oddział Gospodarczy,18 Wojskowy Oddział Gospodarczy,economic_unit,406
PL,2 Regionalna Baza Logistyczna,2 Regionalna Baza Logistyczna,logistics_base,792
PL,2 Regionalna Baza Logistyczna,2. Regionalna Baza Logistyczna,logistics_base,511
PL,2 Regionalna Baza Logistyczna,2.regionalna Baza Logistyczna,logistics_base,2
PL,2 Wojskowy Oddział Gospodarczy,2 Wojskowy Oddział Gospodarczy,economic_unit,1022
PL,2 Wojskowy Oddział Gospodarczy,Skarb Państwa - 2. Wojskowy Oddział Gospodarczy,economic_unit,156
PL,2 Wojskowy Oddział Gospodarczy,2. Wojskowy Oddział Gospodarczy,economic_unit,6
PL,21 Wojskowy Oddział Gospodarczy,21 Wojskowy Oddział Gospodarczy,economic_unit,528
PL,21 Wojskowy Oddział Gospodarczy,21 Wojskowy Oddział Gospodarczy w Elblągu,economic_unit,25
PL,22. Wojskowy Oddział Gospodarczy w Olsztynie,22. Wojskowy Oddział Gospodarczy w Olsztynie,economic_unit,547
PL,22. Wojskowy Oddział Gospodarczy w Olsztynie,Skarb Państwa – 22. Wojskowy Oddział Gospodarczy w Olsztynie,economic_unit,37
PL,22. Wojskowy Oddział Gospodarczy w Olsztynie,Skarb Państwa- 22. Wojskowy Oddział Gospodarczy w Olsztynie,economic_unit,35
PL,22. Wojskowy Oddział Gospodarczy w Olsztynie,Skarb Państwa - 22. Wojskowy Oddział Gospodarczy w Olsztynie,economic_unit,22
PL,22. Wojskowy Oddział Gospodarczy w Olsztynie,Skarb Państwa - 22.Wojskowy Oddział Gospodarczy w Olsztynie,economic_unit,16
PL,22. Wojskowy Oddział Gospodarczy w Olsztynie,Skarb Państwa - 22. Wojskowy Oddział Gospodarczy,economic_unit,1
PL,24 Wojskowy Oddział Gospodarczy,24 Wojskowy Oddział Gospodarczy,economic_unit,645
PL,25. Wojskowy Oddział Gospodarczy w Białymstoku,25. Wojskowy Oddział Gospodarczy w Białymstoku,economic_unit,520
PL,25. Wojskowy Oddział Gospodarczy w Białymstoku,25. Wojskowy Oddział Gospodarczy w Białymstoku.,economic_unit,192
PL,26 Wojskowy Oddział Gospodarczy,26 Wojskowy Oddział Gospodarczy,economic_unit,661
PL,26 Wojskowy Oddział Gospodarczy,26. Wojskowy Oddział Gospodarczy w Zegrzu,economic_unit,143
PL,26 Wojskowy Oddział Gospodarczy,26 Wojskowy Oddział Gospodarczy w Zegrzu,economic_unit,4
PL,26 Wojskowy Oddział Gospodarczy,26. Wojskowy Oddział Gospodarczy,economic_unit,1
PL,28 Wojskowy Oddział Gospodarczy,28 Wojskowy Oddział Gospodarczy,economic_unit,816
PL,3 Regionalna Baza Logistyczna w Krakowie,3 Regionalna Baza Logistyczna w Krakowie,logistics_base,761
PL,3 Regionalna Baza Logistyczna w Krakowie,3 Regionalna Baza Logistyczna,logistics_base,583
PL,3 Regionalna Baza Logistyczna w Krakowie,3 Regionalna Baza Logistyczna Wydział Techniki Lotniczej,logistics_base,78
PL,3 Regionalna Baza Logistyczna w Krakowie,3. Regionalna Baza Logistyczna w Krakowie,logistics_base,1
PL,31 Wojskowy Oddział Gospodarczy,31 Wojskowy Oddział Gospodarczy,economic_unit,1430
PL,31 Wojskowy Oddział Gospodarczy,31 Wojskowy Oddział Gospodarczy w Zgierzu,economic_unit,1
PL,32 Wojskowy Oddział Gospodarczy w Zamościu,32 Wojskowy Oddział Gospodarczy w Zamościu,economic_unit,738
PL,32 Wojskowy Oddział Gospodarczy w Zamościu,32 Wojskowy Oddział Gospodarczy,economic_unit,2
PL,33 Wojskowy Oddział Gospodarczy w Nowej Dębie,33 Wojskowy Oddział Gospodarczy w Nowej Dębie,economic_unit,778
PL,33 Wojskowy Oddział Gospodarczy w Nowej Dębie,33 Wojskowy Oddział Gospodarczy,economic_unit,6
PL,34 Wojskowy Oddział Gospodarczy w Rzeszowie,34 Wojskowy Oddział Gospodarczy w Rzeszowie,economic_unit,762
PL,34 Wojskowy Oddział Gospodarczy w Rzeszowie,34. Wojskowy Oddział Gospodarczy,economic_unit,129
PL,34 Wojskowy Oddział Gospodarczy w Rzeszowie,34 Wojskowy Oddział Gospodarczy,economic_unit,1
PL,35 Wojskowy Oddział Gospodarczy,35 Wojskowy Oddział Gospodarczy,economic_unit,563
PL,35 Wojskowy Oddział Gospodarczy,35. Wojskowy Oddział Gospodarczy,economic_unit,105
PL,35 Wojskowy Oddział Gospodarczy,35. Krakowski Wojskowy Oddział Gospodarczy,economic_unit,5
PL,4 Regionalna Baza Logistyczna,4 Regionalna Baza Logistyczna,logistics_base,839
PL,4 Regionalna Baza Logistyczna,4 Regionalna Baza Logistyczna we Wrocławiu,logistics_base,636
PL,4 Regionalna Baza Logistyczna,4.Regionalna Baza Logistyczna,logistics_base,1
PL,4 Wojskowy Oddział Gospodarczy,4 Wojskowy Oddział Gospodarczy,economic_unit,1037
PL,4 Wojskowy Oddział Gospodarczy,4 Wojskowy Oddział Gospodarczy w Gliwicach,economic_unit,4
PL,43 Wojskowy Oddział Gospodarczy,43 Wojskowy Oddział Gospodarczy,economic_unit,1151
PL,45 Wojskowy Oddział Gospodarczy,45 Wojskowy Oddział Gospodarczy,economic_unit,765
PL,45 Wojskowy Oddział Gospodarczy,45 Wojskowy Oddział Gospodarczy w Wędrzynie,economic_unit,2
PL,6 Wojskowy Oddział Gospodarczy,6 Wojskowy Oddział Gospodarczy,economic_unit,714
PL,Agencja Uzbrojenia,Agencja Uzbrojenia,armament_agency,106
PL,Akademia Marynarki Wojennej im. Bohaterów Westerplatte,Akademia Marynarki Wojennej im. Bohaterów Westerplatte,academy,832
PL,Akademia Sztuki Wojennej,Akademia Sztuki Wojennej,academy,403
PL,Akademia Wojsk Lądowych,Akademia Wojsk Lądowych,academy,537
PL,Akademia Wojsk Lądowych,Akademia Wojsk Lądowych im. Tadeusza Kościuszki,academy,35
PL,Akademia Wojsk Lądowych,Akademia Wojsk Lądowych imienia generała Tadeusza Kościuszki,academy,13
PL,Centrum Zasobów Cyberprzestrzeni Sił Zbrojnych,Centrum Zasobów Cyberprzestrzeni Sił Zbrojnych,cyber_command,1025
PL,Dowództwo Operacyjne Rodzajów Sił Zbrojnych,Dowództwo Operacyjne Rodzajów Sił Zbrojnych,command,2
PL,Jednostka Wojskowa,Jednostka Wojskowa,military_unit,4
PL,Jednostka Wojskowa 4724,Jednostka Wojskowa 4724,military_unit,269
PL,Jednostka Wojskowa 4724,Skarb państwa - Jednostka Wojskowa 4724,military_unit,25
PL,Jednostka Wojskowa Nr 2063,Jednostka Wojskowa Nr 2063,military_unit,496
PL,Jednostka Wojskowa Nr 4101,Jednostka Wojskowa Nr 4101,military_unit,401
PL,Jednostka Wojskowa Nr 6021,Jednostka Wojskowa Nr 6021,military_unit,793
PL,Jednostka Wojskowa Nr 6021,Jednostka Wojskowa nr 6021,military_unit,16
PL,Jednostka Wojskowa nr 2286,Jednostka Wojskowa nr 2286,military_unit,29
PL,Jednostka Wojskowa nr 2286,Jednostka Wojskowa Nr 2286,military_unit,3
PL,Jednostka Wojskowa nr 3964,Jednostka Wojskowa nr 3964,military_unit,246
PL,Jednostka Wojskowa nr 3964,Jednostka Wojskowa Nr 3964,military_unit,21
PL,Jednostka Wojskowa nr 4026,Jednostka Wojskowa nr 4026,military_unit,172
PL,Jednostka Wojskowa nr 4026,Jednostka Wojskowa Nr 4026,military_unit,75
PL,Komenda Portu Wojennego Gdynia,Komenda Portu Wojennego Gdynia,naval_port_command,818
PL,Komenda Portu Wojennego Świnoujście,Komenda Portu Wojennego Świnoujście,naval_port_command,212
PL,Lotnicza Akademia Wojskowa,Lotnicza Akademia Wojskowa,academy,779
PL,Ministerstwo Obrony Narodowej,Ministerstwo Obrony Narodowej,ministry,253
PL,Oddział Zabezpieczenia Żandarmerii Wojskowej,Oddział Zabezpieczenia Żandarmerii Wojskowej,military_police,328
PL,Skarb Państwa - Jednostka Wojskowa Nr 2305,Skarb Państwa - Jednostka Wojskowa Nr 2305,military_unit,224
PL,Skarb Państwa - Jednostka Wojskowa Nr 2305,Jednostka Wojskowa Nr 2305,military_unit,215
PL,Służba Kontrwywiadu Wojskowego,Służba Kontrwywiadu Wojskowego,intelligence,173
PL,Służba Wywiadu Wojskowego,Służba Wywiadu Wojskowego,intelligence,97
PL,Wojskowa Akademia Techniczna,Wojskowa Akademia Techniczna,academy,935
PL,Wojskowa Akademia Techniczna,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego,academy,193
PL,Wojskowe Zakłady Łączności nr 2 S.A,Wojskowe Zakłady Łączności nr 2 S.A.,defence_industry,1
PL,Wojskowy Instytut Chemii i Radiometrii,Wojskowy Instytut Chemii i Radiometrii,research_institute,16
PL,Wojskowy Instytut Techniczny Uzbrojenia,Wojskowy Instytut Techniczny Uzbrojenia,research_institute,317
PL,Wojskowy Instytut Techniki Inżynieryjnej im. profesora Józefa Kosackiego,Wojskowy Instytut Techniki Inżynieryjnej im. profesora Józefa Kosackiego,research_institute,55
PL,Wojskowy Instytut Łączności im. prof. dr. hab. Janusza Groszkowskiego - Państwowy Instytut Badawczy,Wojskowy Instytut Łączności im. prof. dr. hab. Janusza Groszkowskiego - Państwowy Instytut Badawczy,research_institute,223
PL,Wojskowy Instytut Łączności im. prof. dr. hab. Janusza Groszkowskiego - Państwowy Instytut Badawczy,Wojskowy Instytut Łączności im. prof.dr.hab. Janusza Groszkowskiego - Państwowy Instytut Badawczy,research_institute,16
PL,Wojskowy Instytut Łączności im. prof. dr. hab. Janusza Groszkowskiego - Państwowy Instytut Badawczy,Wojskowy Instytut Łączności im. prof. dr hab. Janusza Groszkowskiego – Państwowy Instytut Badawczy,research_institute,1
ES,Armada Espanola,Armada Espanola,service,2
ES,"Consejero Delegado de Ingeniería de Sistemas para la Defensa de España S.A., S.M.E. y M.P","Consejero Delegado de Ingeniería de Sistemas para la Defensa de España S.A., S.M.E. y M.P.",defence_engineering,1
ES,Direccion General de Armamento y Material,Direccion General de Armamento y Material,armament_agency,2
ES,Dirección de Adquisiciones del Mando de Apoyo Logístico del Ejército del Aire y del Espacio,Dirección de Adquisiciones del Mando de Apoyo Logístico del Ejército del Aire y del Espacio,army_economic_unit,1
ES,Dirección de Asuntos Económicos del Ejército,Dirección de Asuntos Económicos del Ejército,army_economic_unit,1
ES,Dirección de Asuntos Económicos del Ejército del Aire,Dirección de Asuntos Económicos del Ejército del Aire,army_economic_unit,1
ES,Dirección de Gestión Económica de la Jefatura de Apoyo Logístico de la Armada,Dirección de Gestión Económica de la Jefatura de Apoyo Logístico de la Armada,army_economic_unit,1
ES,Ejercito del Aire y del Espacio,Ejercito del Aire y del Espacio,service,2
ES,Instituto Nacional de Tecnica Aeroespacial,Instituto Nacional de Tecnica Aeroespacial,aerospace_institute,2
ES,Jefatura de Asuntos Economicos del Ejercito de Tierra,Jefatura de Asuntos Economicos del Ejercito de Tierra,army_economic_unit,2
ES,Jefatura de Asuntos Económicos de la Fuerza Terrestre,Jefatura de Asuntos Económicos de la Fuerza Terrestre,army_economic_unit,1
ES,Jefatura de Asuntos Económicos del CG de la Comandancia Gral. de Melilla,Jefatura de Asuntos Económicos del CG de la Comandancia Gral. de Melilla,army_economic_unit,1
ES,Jefatura de Asuntos Económicos del Cuartel General Terrestre Alta Disponibilidad,Jefatura de Asuntos Económicos del Cuartel General Terrestre Alta Disponibilidad,army_economic_unit,1
ES,Jefatura de Asuntos Económicos del Estado Mayor de la Defensa,Jefatura de Asuntos Económicos del Estado Mayor de la Defensa,army_economic_unit,1
ES,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico,army_economic_unit,1
ES,Jefatura de Asuntos Económicos del Mando de Canarias,Jefatura de Asuntos Económicos del Mando de Canarias,army_economic_unit,1
ES,Jefatura de Asuntos Económicos del Mando de Personal,Jefatura de Asuntos Económicos del Mando de Personal,army_economic_unit,1
ES,Jefatura de Intendencia de Asuntos Económicos Centro,Jefatura de Intendencia de Asuntos Económicos Centro,intendance,1
ES,Jefatura de Intendencia de Asuntos Económicos Este,Jefatura de Intendencia de Asuntos Económicos Este,intendance,1
ES,Jefatura de Intendencia de Asuntos Económicos Oeste,Jefatura de Intendencia de Asuntos Económicos Oeste,intendance,1
ES,Jefatura de Intendencia de Asuntos Económicos Sur,Jefatura de Intendencia de Asuntos Económicos Sur,intendance,1
ES,Jefatura de la Sección Económico Administrativa 12 - Agrupación del Acuartelamiento Aéreo Tablada,Jefatura de la Sección Económico Administrativa 12 - Agrupación del Acuartelamiento Aéreo Tablada,army_economic_unit,1
ES,Jefatura de la Sección Económico Administrativa 14 - Cuartel General del Mando Aéreo de Canarias,Jefatura de la Sección Económico Administrativa 14 - Cuartel General del Mando Aéreo de Canarias,army_economic_unit,1
ES,Jefatura de la Sección Económico Administrativa 15 Agrupación del Cuartel General del Ejército del Aire,Jefatura de la Sección Económico Administrativa 15 Agrupación del Cuartel General del Ejército del Aire,army_economic_unit,1
ES,Jefatura de la Sección Económico Administrativa 22 - Base Aérea de Torrejón (Agrupación de Base),Jefatura de la Sección Económico Administrativa 22 - Base Aérea de Torrejón (Agrupación de Base),army_economic_unit,1
ES,Jefatura de la Sección Económico Administrativa 23 de la Base Aérea de Albacete,Jefatura de la Sección Económico Administrativa 23 de la Base Aérea de Albacete,army_economic_unit,1
ES,Jefatura de la Sección Económico Administrativa 24 de la Base Aérea de Morón,Jefatura de la Sección Económico Administrativa 24 de la Base Aérea de Morón,army_economic_unit,1
ES,Jefatura de la Sección Económico-Administrativa 26 - Base Aérea de Zaragoza (Agrupación BASE),Jefatura de la Sección Económico-Administrativa 26 - Base Aérea de Zaragoza (Agrupación BASE),army_economic_unit,1
ES,Jefatura de la Sección Económico-Administrativa 27 - Base Aérea de Getafe,Jefatura de la Sección Económico-Administrativa 27 - Base Aérea de Getafe,army_economic_unit,1
ES,Jefatura de la Sección Económico-Administrativa 41 - Base Aérea de San Javier,Jefatura de la Sección Económico-Administrativa 41 - Base Aérea de San Javier,army_economic_unit,1
ES,Jefatura de la Sección Económico-Administrativa 45 - Aeródromo Militar de León,Jefatura de la Sección Económico-Administrativa 45 - Aeródromo Militar de León,army_economic_unit,1
ES,Jefatura de la Sección Económico-Administrativa 46 - Base Aérea de Matacán,Jefatura de la Sección Económico-Administrativa 46 - Base Aérea de Matacán,army_economic_unit,1
ES,Jefatura de la Sección Económico-Administrativa 61 - Base Aérea de Son San Juan,Jefatura de la Sección Económico-Administrativa 61 - Base Aérea de Son San Juan,army_economic_unit,1
ES,Jefatura de la Sección Económico-Administrativa 62 - Base Aérea de Cuatro Vientos,Jefatura de la Sección Económico-Administrativa 62 - Base Aérea de Cuatro Vientos,army_economic_unit,1
ES,Jefatura de la Sección de Asuntos Económicos de la Unidad Militar de Emergencias,Jefatura de la Sección de Asuntos Económicos de la Unidad Militar de Emergencias,army_economic_unit,1
ES,Junta de Contratación del Ministerio de Defensa,Junta de Contratación del Ministerio de Defensa,ministry,1
ES,Ministerio de Defensa,Ministerio de Defensa,ministry,3
ES,"Sección de Asuntos Económicos de la Jefatura Sistemas de Información, Telecomunicaciones y Asistencia Técnica","Sección de Asuntos Económicos de la Jefatura Sistemas de Información, Telecomunicaciones y Asistencia Técnica",army_economic_unit,1
ES,Sección de Asuntos Económicos del Parque y Centro de Abastecimiento de Material de Intendencia,Sección de Asuntos Económicos del Parque y Centro de Abastecimiento de Material de Intendencia,army_economic_unit,1
ES,Sección de Asuntos Económicos del Parque y Centro de Mantenimiento de Helicópteros,Sección de Asuntos Económicos del Parque y Centro de Mantenimiento de Helicópteros,army_economic_unit,1
ES,"Sección de Asuntos Económicos del Parque y Centro de Mantenimiento de Sist. Antiaérea, Costa y Misiles","Sección de Asuntos Económicos del Parque y Centro de Mantenimiento de Sist. Antiaérea, Costa y Misiles",army_economic_unit,1
ES,Sección de Asuntos Económicos del Parque y Centro de Mantenimiento de Sistemas Acorazados 2,Sección de Asuntos Económicos del Parque y Centro de Mantenimiento de Sistemas Acorazados 2,army_economic_unit,1
ES,Subdirección General de Adquisiciones de Armamento y Material DGAM,Subdirección General de Adquisiciones de Armamento y Material DGAM,armament_agency,1
FR,Ministere des Armees,Ministere des Armees,curated,0
FR,Direction Generale de l'Armement,Direction Generale de l'Armement,curated,0
